player_id,Player Name
p1,BEURAN HENDRICKS
p2,DAVID WIESE
p3,DONOVAN FERREIRA
p4,DEVON CONWAY
p5,DOUG BRACEWELL
p6,ERIC SIMONS
p7,EVAN JONES
p8,FAF DU PLESSIS
p9,GERALD COETZEE
p10,HARDUS VILJOEN
p11,IMRAN TAHIR
p12,JONNY BAIRSTOW
p13,JP KING
p14,KASI VISWANATHAN
p15,LAKSHMI NARAYANAN
p16,LEUS DU PLOOY
p17,LUTHO SIPAMLA
p18,MAHEESH THEEKSHANA
p19,MATHEESHA PATHIRANA
p20,MOEEN ALI
p21,SANJAY NATARAJAN
p22,SIBONELO MAKHANYA
p23,STEPHEN FLEMING
p24,TABRAIZ SHAMSI
p25,TOMMY SIMSEK
p26,TSHEPO MOREKI
p27,WIHAN LUBBE